3147,36;3148,06;3146,45;3148,06
3148,07;3148,43;3146,49;3146,59
3146,53;3146,53;3145,08;3145,89
3146;3146;3142;3142,83
3142,82;3143;3140,9;3143
3143;3143,03;3140,11;3141,26
3141,26;3146;3141,12;3146
3146;3149,77;3145,39;3149,47
3149,48;3154,01;3148,4;3154,01
3154;3154,93;3150,25;3150,25
3150,24;3151,7;3149,11;3149,31
3149,31;3153,99;3148,66;3153,93
3153,93;3159;3152;3156
3156;3156,99;3150,67;3150,67
3150,66;3151,64;3148;3151,64
3151,63;3152,37;3150,43;3152,37
3152,36;3152,36;3150,02;3151,72
3151,71;3152,1;3149,23;3151,28
3151,28;3151,28;3148,5;3148,58
3148,63;3149,99;3148,52;3148,81
3148,8;3152;3148,8;3152
3152;3157,87;3148,74;3157,14
3157,14;3157,14;3153,11;3153,94
3153,68;3154,86;3153,03;3153,61
3153,6;3153,99;3151,73;3152,54
3152,54;3157,2;3152,5;3157,06
3157,06;3157,07;3155,04;3155,26
3155,26;3155,95;3153,27;3153,61
3153,61;3155,08;3153,43;3154,93
3154,93;3159,33;3154,1;3156,25
3156,25;3159,97;3156;3159
3158,98;3159,89;3156,49;3158,83
3158,83;3158,83;3157,29;3157,79
3157,79;3159,59;3153,53;3153,67
3153,67;3154,92;3152,41;3153,65
3153,66;3154,69;3149,6;3149,6
3149,6;3151,89;3146,04;3147
3147,02;3152,49;3147,02;3150,62
3150,62;3152,37;3148,5;3149,5
3149,5;3149,5;3146,02;3146,08
3146,2;3148,58;3146,01;3147,77
3148,05;3148,32;3145,08;3145,2
3145,21;3148,49;3145,2;3147,83
3147,83;3148,41;3144,58;3144,9
3144,9;3151,14;3144,6;3150,27
3150,27;3151,66;3149,92;3150,17
3150,16;3154;3150,16;3152,72
3152,72;3152,99;3149,6;3150,98
3151;3154,53;3150,23;3153,34
3153,33;3154,77;3151,56;3153,63
3153,62;3153,71;3151,71;3152
3152;3152;3148,8;3148,81
3148,82;3148,99;3144;3148,99
3148,99;3149;3143,24;3143,25
3143,25;3147,92;3141,96;3144,82
3144,83;3147,82;3144,83;3145,75
3145,75;3148,49;3145,75;3147,27
3147,27;3147,35;3144,06;3146,74
3146,62;3147,4;3144,51;3144,98
3144,97;3145,7;3144,01;3145,35
3145,44;3146,41;3143,51;3144,93
3144,93;3145,31;3143,32;3144,74
3144,74;3147,53;3144,28;3146,95
3146,91;3149,48;3145,41;3149,48
3149,47;3149,87;3147,86;3149,47
3149,47;3151,33;3147,91;3148,79
3148,76;3150,83;3147,34;3150,1
3150,1;3153,9;3150,09;3151,56
3151,56;3153,31;3150,29;3151,04
3150,9;3152,31;3148,38;3149,14
3149,14;3149,5;3147,15;3149,49
3149,49;3150,94;3149,14;3150,55
3150,83;3152,69;3150;3150,35
3150,46;3150,51;3148,01;3148,26
3148,33;3148,86;3145,82;3147,58
3147,69;3147,86;3144,71;3145,01
3144,99;3146;3143,76;3144,18
3144,01;3147,82;3143,69;3147,75
3147,74;3148,9;3144,01;3148,59
3148,59;3149,42;3147,55;3148,13
3148,13;3148,55;3143,55;3144,3
3144,31;3144,93;3136,85;3138,19
3138,11;3139,48;3135,3;3138,27
3138,27;3140,5;3137,62;3139,12
3139,11;3141,9;3137,72;3140,29
3140,28;3141,58;3139;3139,01
3139,01;3140,28;3137,43;3137,43
3137,43;3140,77;3136,16;3136,69
3136,68;3137,82;3133,5;3134,28
3134,26;3135,57;3128,46;3128,86
3128,85;3131,96;3127,69;3131,82
3131,82;3134,98;3131,81;3133,37
3133,37;3137,95;3133,37;3137,77
3137,77;3142;3136,72;3141,84
3141,93;3142,04;3138;3141,41
3141,41;3142,26;3140,05;3142,1
3142,1;3142,24;3140,01;3140,71
3140,72;3145,5;3140,65;3145,11
3145,28;3146,58;3142,62;3144,77
3144,67;3146,12;3144,21;3145,68
3145,68;3147,35;3145,37;3147,35
3147,35;3148,86;3144,28;3146,63
3146,66;3147;3143,02;3143,77
3143,73;3149,88;3143,71;3149,56
3149,7;3151,45;3149,24;3149,33
3149,66;3150;3148,15;3149,9
3149,91;3150,9;3148,6;3149,69
3149,6;3150,99;3148,98;3149,21
3149,21;3158,07;3147,31;3154,44
3154,43;3155,16;3152,82;3152,95
3152,96;3153,39;3150;3150,01
3150,01;3151,85;3147,17;3147,36
3147,24;3150,08;3147,02;3150,07
3150,08;3151,37;3146,65;3148,02
3148,5;3152,41;3148,01;3149,61
3149,61;3149,61;3145,21;3145,36
3145,36;3145,9;3142,9;3144,69
3144,68;3148,19;3144,68;3148,19
3148,21;3164,51;3148,2;3161,89
3162;3169,2;3162;3167
3167,24;3171;3163,31;3168
3167,94;3170,91;3163,26;3165,03
3165,17;3170;3162,57;3169,83
3169,93;3177,9;3169,32;3172,94
3172,94;3175,99;3170,07;3170,39
3170,38;3174,39;3169,41;3171,67
3171,67;3174,8;3167;3172,12
3172;3181;3170;3179,76
3179,75;3179,75;3165,79;3167,28
3167,28;3169,27;3166,69;3168,04
3168,05;3171,86;3168,04;3169,78
3169,78;3173,96;3169,78;3172,06
3172,07;3175,2;3171,79;3173,9
3173,98;3185,5;3172,86;3177
3177;3181,46;3176;3180,39
3180,39;3188;3179;3182,59
3182,6;3184,72;3180,78;3180,99
3180,99;3182,82;3180,51;3182,48
3182,48;3182,82;3177,54;3178,51
3178,22;3178,51;3175,71;3175,72
3175,72;3177,62;3175,39;3177
3177;3179,73;3175,42;3176,11
3176,12;3177;3173,38;3174,99
3175;3177,95;3173,95;3177,07
3177,06;3177,23;3173,16;3174,91
3175,07;3176,66;3174,11;3174,43
3174,43;3178,08;3174,42;3177,01
3177,01;3177,45;3176,04;3177,35
3177,35;3181,6;3177,04;3181,27
3181,27;3183;3180,41;3181,46
3181,25;3185,12;3180,14;3185,12
3185,12;3187,96;3184;3187,29
